route_short_name,delay_p000,delay_p010,delay_p025,delay_p050,delay_p075,delay_p090,delay_p100,end_delay_p000,end_delay_p010,end_delay_p025,end_delay_p050,end_delay_p075,end_delay_p090,end_delay_p100,num_delays,num_end_delays,route_id,route_long_name,num_stop_times,num_trips
31X,-1240.0,-419.0,-65.0,93.5,269.5,484.0,1611.0,-635.0,-557.6,-296.0,-97.0,96.5,195.60000000000002,574.0,476,27,route_093,City Centre To Onehunga Express Via One Tree Hill,864,42
32,-818.0,-113.79999999999995,-11.0,80.0,227.0,395.0,1779.0,-744.0,-171.39999999999998,-17.0,139.0,291.0,485.19999999999993,1695.0,15963,1037,route_094,Mangere Town Centre To Sylvia Park Via Otahuhu,32940,1176
321,-1303.0,-409.0,-191.0,25.0,214.0,439.40000000000146,1785.0,-1204.0,-495.29999999999995,-213.5,27.5,248.0,598.9999999999998,1658.0,9249,240,route_095,Middlemore Station to Ellerslie Station via Otahuhu,15780,348
322,-1331.0,-545.0,-238.0,33.0,249.0,485.3000000000011,1775.0,-1163.0,-636.2,-370.0,-45.0,247.0,540.0,1754.0,4690,129,route_096,Britomart to Otahuhu Station via Great South Road,7964,194
323,-112.0,-22.8,12.0,48.0,115.0,218.79999999999998,489.0,99.0,133.8,186.0,190.0,340.0,429.4,489.0,113,5,route_097,Otahuhu To Panmure Station,276,12
324,-373.0,-50.0,40.0,136.0,316.0,656.4000000000005,1792.0,-287.0,-62.599999999999966,55.5,222.0,404.75,731.1,1717.0,4757,280,route_098,Mangere Town Centre To Seaside Park Via Otahuhu,9900,360
325,-1534.0,-327.0,-156.0,31.0,202.75,532.7000000000007,1796.0,-1406.0,-619.0,-334.5,-93.0,144.0,406.0,1533.0,23474,811,route_099,Mangere Town Centre To Manukau Station Via Otahuhu And Otara,51414,918
326,-787.0,-323.0,-124.0,31.0,131.0,244.0,1747.0,-715.0,-407.70000000000005,-253.75,-61.0,45.0,346.4000000000001,1642.0,5253,330,route_100,Mangere Town Centre To Otahuhu Station Via Tidal Road,9664,358
33,-1538.0,-173.0,-13.0,101.0,256.0,512.0,1798.0,-797.0,-261.5,-74.0,111.5,320.0,649.5,1797.0,32617,1106,route_101,Otahuhu Station to Papakura Interchange Via Great South Rd,55802,1218
352,-1533.0,-526.0,-284.0,-62.0,76.0,239.90000000000055,1682.0,-1349.0,-751.5,-455.25,-168.0,172.25,575.5,1592.0,7612,296,route_102,Panmure To Manukau Station Via East Tamaki,13260,324
353,-918.0,-366.0,-244.0,-84.0,34.0,111.0,1553.0,-885.0,-365.59999999999997,-265.0,-145.0,17.0,181.60000000000014,1553.0,7673,609,route_103,Manukau Station To Botany Town Centre Via Preston Rd,13204,644
358,-1353.0,-573.1999999999999,-256.0,6.0,152.0,293.0,967.0,-1353.0,-733.8,-365.0,-126.0,159.75,373.80000000000024,764.0,525,22,route_104,Onehunga To Pakuranga Plaza Via Penrose,876,30
360X,-1346.0,-789.3,-290.0,73.0,226.25,429.4000000000003,1179.0,-1110.0,-712.3,-192.75,116.5,522.0,1010.5000000000002,1179.0,600,20,route_105,City To Papakura Via Manurewa (Express),1074,36
361,-1777.0,-263.0,-95.0,61.0,229.0,497.0,1796.0,-828.0,-294.5,-132.5,80.0,303.75,595.5,1754.0,18603,656,route_106,Otara / Mit To Manurewa Interchange Via Mahia Rd,40062,750
362,-1616.0,-136.0,-23.0,53.0,152.0,308.39999999999964,1798.0,-724.0,-217.0,-103.0,28.0,155.0,324.4999999999999,1516.0,10637,682,route_107,Weymouth To Manukau Station Via Great South Rd,23498,758
363,-528.0,-172.89999999999998,-64.75,31.0,134.0,307.7000000000003,1798.0,-446.0,-251.0,-133.0,8.0,181.5,353.59999999999997,1643.0,2562,155,route_108,Manurewa Interchange To Wattle Downs Loop,5824,182
365,-1778.0,-229.0,-80.25,38.0,136.0,263.0,1794.0,-825.0,-280.0,-161.0,-23.0,163.0,413.0,1634.0,14360,681,route_109,Papakura Interchange To Manukau Station Via Porchester Rd,28906,732
366,-663.0,-220.0,-85.0,51.0,213.0,453.8000000000011,1800.0,-595.0,-252.60000000000002,-128.0,11.0,214.0,421.80000000000007,1796.0,11793,743,route_110,Manukau Station To Manurewa Via The Gardens,25742,792
368,-283.0,-52.89999999999999,33.75,140.5,279.25,479.79999999999995,1200.0,-267.0,-46.999999999999986,70.0,273.0,456.0,539.8000000000001,1200.0,1052,59,route_111,Wiri Industrial Loop Clockwise,1848,84
369,-762.0,-278.0,-179.0,-78.0,26.0,128.5,1006.0,-762.0,-270.4,-199.5,-115.0,20.25,165.6,291.0,1026,78,route_112,Wiri Industrial Loop Anticlockwise,1800,90
371,-1724.0,-393.3,-194.0,-22.0,60.0,149.0,1765.0,-1724.0,-603.8,-258.0,-117.0,60.0,257.20000000000005,1765.0,2258,237,route_113,Papakura Interchange To Takanini Station,3888,288
372,-1169.0,-198.5,-62.0,78.5,176.0,290.0,1601.0,-468.0,-301.0,-192.5,-38.5,108.75,279.0,1537.0,3306,326,route_114,Papakura Shops To Keri Hill Loop,9020,410
373,-686.0,-365.0,-226.0,-64.5,57.0,172.0,1781.0,-686.0,-471.0,-323.0,-196.5,-61.0,72.0,1271.0,3590,346,route_115,Papakura Shops To Red Hill,6724,408
374,-889.0,-275.4,-135.75,8.0,135.0,279.0,1686.0,-579.0,-374.7,-296.5,-139.0,25.5,163.0,535.0,1350,128,route_116,Papakura Shops To Opaheke Loop,2400,150
376,-506.0,-83.09999999999997,-9.0,46.0,114.0,223.0,1762.0,-506.0,-163.6,-56.75,30.0,143.0,271.3,1749.0,2620,338,route_117,Papakura Shops To Drury,5730,382
377,-796.0,-330.0,-138.0,-2.0,93.0,195.0,1786.0,-654.0,-296.29999999999995,-135.75,-10.5,117.0,277.20000000000005,1786.0,4817,630,route_118,Pahurehure To Papakura Interchange,9360,720
378,-843.0,-4.0,63.5,202.0,348.0,501.8000000000002,1774.0,-734.0,-336.7,-79.25,110.5,261.75,426.3000000000002,1012.0,2127,164,route_119,Papakura Shops To Karaka Harbourside Loop,4452,212
380,-1232.0,-217.0,-77.0,42.0,196.0,397.1000000000022,1797.0,-1182.0,-499.4,-264.0,-16.0,354.0,972.6000000000001,1760.0,18640,659,route_120,Onehunga To Manukau Via Airport,36714,798
390,-1033.0,-252.0,-95.0,37.0,167.0,339.0,1732.0,-997.0,-447.8,-260.5,-45.0,175.0,404.80000000000007,1732.0,7750,295,route_121,Te Papapa To City Centre,15580,362
391,-316.0,-163.6,-76.5,57.0,141.5,254.5999999999999,1382.0,-276.0,-153.0,-107.0,-39.0,88.0,309.4000000000002,857.0,2515,325,route_122,Pukekohe Northeast Loop,4420,340
392,-320.0,-107.0,-52.0,26.0,100.0,198.0,1762.0,-280.0,-132.0,-75.5,-4.0,118.5,263.4000000000001,1739.0,2964,323,route_123,Pukekohe Northwest Loop,5440,340
393,-216.0,-48.0,25.0,91.0,146.0,205.0,1510.0,-199.0,-108.0,-60.0,24.0,134.0,236.10000000000002,1341.0,2908,320,route_124,Pukekohe South Loop,5100,340
394,-328.0,-217.8,-122.0,-38.0,67.5,162.60000000000014,1799.0,-239.0,-181.2,-124.75,-32.5,49.25,279.69999999999993,872.0,963,128,route_125,Pukekohe Interchange To Wesley College/Paerata,1968,152
395,-393.0,-246.5,-31.75,85.5,272.5,388.0,874.0,-393.0,-290.6,-256.5,-185.0,26.5,141.80000000000004,874.0,236,23,route_126,Papakura Interchange To Waiuku,432,24
396,-729.0,-181.6,-9.0,138.0,275.0,379.80000000000007,652.0,-370.0,-159.0,33.0,232.0,316.0,433.0000000000003,652.0,545,85,route_127,Pukekohe Interchange To Waiuku Via Patumahoe And Victoria Av,790,92
398,-54.0,-16.699999999999992,15.5,50.5,103.5,132.8,824.0,-50.0,-40.7,-17.75,39.0,106.0,127.00000000000001,824.0,52,14,route_128,Tuakau to Pukekohe,84,28
399,55.0,134.0,252.5,450.0,559.5,625.2,669.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,3,1,route_129,Port Waikato to Pukekohe via Tuakau,16,4
4,-94.0,27.0,63.0,187.0,356.0,506.0,1298.0,-64.0,-8.0,97.0,199.0,426.0,650.0,1254.0,661,41,route_130,Onetangi Direct To Matiatia Wharf,1404,54
500,-1775.0,-269.0,-76.0,71.0,245.0,463.0,1791.0,-1585.0,-600.1999999999999,-354.5,-20.0,344.0,642.7999999999998,1776.0,33013,687,route_131,Botany Town Centre To Britomart Via Ti Rakau Dr,55990,932
501,-1339.0,-319.9,-102.75,89.5,291.0,613.8000000000011,1797.0,-1339.0,-709.9,-515.5,-115.0,328.5,738.8000000000002,1583.0,5802,112,route_132,Britomart To Cockle Bay Via Botany Town Centre,9756,174
505,-1144.0,-385.0,-173.0,56.0,259.0,546.0,1787.0,-992.0,-522.0,-289.5,-77.0,163.0,427.60000000000014,1425.0,7304,247,route_133,Sylvia Park to Britomart via Ruawai Rd and Ellerslie,13558,274
50X,-959.0,-536.5999999999999,35.5,177.0,333.0,588.8000000000001,1099.0,-804.0,-26.199999999999992,52.0,193.0,398.0,458.6,580.0,435,13,route_134,Britomart To Otahuhu Express Via Mt Wellington,846,24
515,-1741.0,-351.0,-142.0,45.0,318.0,622.6999999999998,1794.0,-1225.0,-514.0,-326.0,-81.0,189.0,411.0,1792.0,6004,141,route_135,Otahuhu Station to Britomart via Ruawai Rd and Panama Rd,12276,186
525,-950.0,-350.0,-115.0,66.0,308.0,580.8,1209.0,-950.0,-656.5999999999999,-497.0,-291.0,292.5,580.0,1168.0,1193,35,route_136,Sylvia Park to Britomart via Mt Wellington Highway,2052,54
52X,-1129.0,-671.5999999999999,-334.0,58.0,221.0,440.4000000000003,1406.0,-1079.0,-638.0,-208.0,-18.0,136.0,462.0,1406.0,455,21,route_137,Otahuhu to Britomart Express,816,24
532,-1174.0,-414.0,-149.0,69.0,306.0,596.5999999999999,1577.0,-843.0,-514.6,-372.75,-83.5,336.25,662.5,1457.0,3065,78,route_138,Britomart to Otahuhu via Carbine Road,5556,100
545,-714.0,-8.0,52.0,142.0,261.0,405.0,1723.0,-623.0,-245.70000000000002,-116.75,28.5,171.75,334.79999999999984,1487.0,5995,354,route_139,Bucklands Beach To Botany Town Centre Via Highland Park,11532,372
550,-1800.0,-269.0,-95.0,60.0,204.0,393.0,1800.0,-1755.0,-570.5,-307.25,-20.5,337.0,675.0,1756.0,29822,536,route_140,Cockle Bay To Britomart Via Newmarket,50886,826
550X,-1031.0,-281.2,-81.0,58.0,233.0,522.2000000000003,1786.0,-960.0,-691.1999999999999,-430.5,-88.0,185.75,387.0,845.0,4479,130,route_141,Britomart To Cockle Bay Express,6972,162
551,-813.0,-397.69999999999993,-176.0,37.5,177.75,379.0,1024.0,-807.0,-711.0,-643.0,-225.0,127.0,409.2000000000001,918.0,680,9,route_142,Britomart To North Park Via Newmarket,1116,18
551X,-612.0,-105.99999999999997,-6.0,96.0,367.0,648.4000000000004,1372.0,-612.0,-436.0,-229.75,-97.5,101.5,155.5,157.0,233,6,route_143,North Park To Britomart Express,402,12
552,-1791.0,-196.89999999999986,35.0,144.0,277.0,441.0,1798.0,-1484.0,-511.19999999999993,-251.5,-53.0,134.5,338.2,1771.0,15182,559,route_144,Bucklands Beach To Panmure Via Vivian Wilson Dr,30012,646
553X,-1163.0,-470.0,-164.25,23.0,116.75,262.7,594.0,-1128.0,-654.5999999999999,-282.75,-167.0,73.75,302.9000000000001,389.0,534,18,route_145,Eastern Beach To Britomart Express Via Tamaki Campus,858,30
554X,-996.0,-308.9999999999999,-14.0,83.0,282.0,515.9999999999994,1110.0,-829.0,-762.1999999999999,-550.0,-375.0,84.0,272.6000000000001,827.0,697,33,route_146,Britomart To Bucklands Beach Express Via Tamaki Campus,1302,36
